RoomNum	RoomCat	Buzy	Status	NumBeds	NumPeople	RoomType	PBXNumber	Left	Top	Width	Height	RoomName	Kamerierka	ExtBeds	HotelId	Notes
1	11	0	0	2	0	9	,610,	12	580	35	35	1A	66	1	1	0
2	4	0	0	2	0	1	,611,	68	581	35	35	102	65	0	1	0
3	4	0	0	2	0	1	,611,	126	582	35	35	104	65	0	1	11
4	4	0	0	2	0	1	,611,	189	582	35	35	106	66	0	1	1
5	4	0	0	2	0	1	,611,	249	580	35	35	108	66	0	1	0
6	4	0	0	2	0	1	,611,	307	581	35	35	110	66	0	1	0
7	4	0	0	2	0	1	,611,	366	581	35	35	112	66	0	1	0
8	4	0	0	2	0	1	,611,	425	581	35	35	114	66	0	1	0
9	4	0	0	2	0	1	,611,	485	581	35	35	116	66	0	1	0
10	4	0	0	2	0	1	,611,	722	504	35	35	201A	60	0	1	0
11	4	2	0	2	2	1	,611,	599	458	35	35	202A	60	0	1	0
12	4	0	0	2	0	1	,611,	664	504	35	35	203	60	0	1	0
13	4	0	0	2	0	1	,611,	540	457	35	35	204A	60	0	1	0
14	4	0	0	2	0	1	,611,	601	506	35	35	205	60	0	1	0
15	4	0	0	2	0	1	,611,	482	455	35	35	206A	60	0	1	0
16	4	0	0	2	0	1	,611,	543	506	35	35	207	60	0	1	0
17	4	0	0	2	0	1	,611,	484	505	35	35	209	60	0	1	0
18	4	0	0	2	0	1	,611,	365	504	35	35	211	60	0	1	0
19	4	0	0	2	0	1	,611,	365	455	35	35	212	65	0	1	0
20	4	0	0	2	0	1	,611,	306	504	35	35	213	65	0	1	0
21	4	2	0	2	2	1	,611,	306	455	35	35	214	65	0	1	0
22	4	0	0	2	0	1	,611,	250	454	35	35	216	65	0	1	0
23	4	0	0	2	0	1	,611,	249	505	35	35	217	65	0	1	0
24	4	0	0	2	0	1	,611,	188	455	35	35	218	65	0	1	0
25	4	0	0	2	0	1	,611,	190	503	35	35	223	65	0	1	0
26	4	0	0	2	0	1	,611,	124	453	35	35	220	65	0	1	0
27	4	0	0	2	0	1	,611,	128	503	35	35	225	65	1	1	0
28	4	0	0	2	0	1	,611,	67	452	35	35	222	65	0	1	0
29	11	0	0	2	0	9	,611,	1183	304	35	35	302	64	1	1	0
30	4	0	0	2	0	1	,611,	905	364	35	35	301	64	0	1	0
31	11	0	0	2	0	9	,611,	372	317	35	35	328	64	0	1	0
32	4	2	0	2	2	1	,611,	842	365	35	35	303	64	0	1	0
33	4	2	0	2	3	1	,611,	1118	308	35	35	304	64	0	1	0
34	4	0	0	2	0	1	,611,	783	366	35	35	305	64	0	1	0
35	4	2	0	2	2	1	,611,	1060	308	35	35	306	64	0	1	0
36	4	0	0	2	0	1	,611,	720	367	35	35	307	64	0	1	0
37	4	2	0	2	3	1	,611,	1004	308	35	35	308	64	0	1	0
38	4	0	0	2	0	1	,611,	657	367	35	35	309	64	0	1	0
39	4	0	2	2	0	1	,611,	902	309	35	35	310	64	0	1	0
40	4	0	0	2	0	1	,611,	597	368	35	35	311	64	0	1	0
41	4	0	0	2	0	1	,611,	841	309	35	35	312	64	0	1	0
42	4	0	2	2	0	1	,611,	540	371	35	35	313	64	0	1	0
43	4	2	0	2	1	1	,611,	781	312	35	35	314	64	0	1	0
44	4	0	2	2	0	1	,611,	486	370	35	35	315	64	0	1	0
45	4	2	0	2	2	1	,611,	716	312	35	35	316	64	0	1	0
46	4	0	2	2	0	1	,611,	428	371	35	35	317	64	0	1	0
47	4	0	2	2	0	1	,611,	657	313	35	35	318	60	0	1	0
48	4	0	2	2	0	1	,611,	371	370	35	35	319	60	0	1	0
49	4	0	2	2	0	1	,611,	598	313	35	35	320	60	0	1	0
50	4	2	0	2	1	1	,611,	541	316	35	35	322	60	0	1	0
51	4	0	2	2	0	1	,611,	486	316	35	35	324	60	0	1	0
52	4	0	2	2	0	1	,611,	431	317	35	35	324b	60	1	1	0
53	11	0	0	2	0	9	,611,	1186	308	35	35	402	64	1	1	0
54	4	0	0	2	0	1	,611,	1186	308	35	35	401	64	0	1	0
55	11	0	0	2	0	9	,611,	1186	308	35	35	428	64	0	1	0
56	4	2	0	2	2	1	,611,	1186	308	35	35	403	64	0	1	0
57	4	2	0	2	3	1	,611,	1186	308	35	35	404	64	0	1	0
58	4	0	0	2	0	1	,611,	1186	308	35	35	405	64	0	1	0
59	4	2	0	2	2	1	,611,	1186	308	35	35	406	64	0	1	0
60	4	0	0	2	0	1	,611,	1186	308	35	35	407	64	0	1	0
61	4	2	0	2	3	1	,611,	1186	308	35	35	308	64	0	1	0
62	4	0	0	2	0	1	,611,	1186	308	35	35	409	64	0	1	0
63	4	0	2	2	0	1	,611,	1186	308	35	35	410	64	0	1	0
64	4	0	0	2	0	1	,611,	1186	308	35	35	411	64	0	1	0
65	4	0	0	2	0	1	,611,	1186	308	35	35	412	64	0	1	0
66	4	0	2	2	0	1	,611,	1186	308	35	35	413	64	0	1	0
67	4	2	0	2	1	1	,611,	1186	308	35	35	414	64	0	1	0
68	4	0	2	2	0	1	,611,	1186	308	35	35	415	64	0	1	0
69	4	2	0	2	2	1	,611,	1186	308	35	35	416	64	0	1	0
70	4	0	2	2	0	1	,611,	1186	308	35	35	417	64	0	1	0
71	4	0	2	2	0	1	,611,	1186	308	35	35	418	60	0	1	0
72	4	0	2	2	0	1	,611,	1186	308	35	35	419	60	0	1	0
73	4	0	2	2	0	1	,611,	1186	308	35	35	420	60	0	1	0
74	4	2	0	2	1	1	,611,	1186	308	35	35	422	60	0	1	0
75	4	0	2	2	0	1	,611,	1186	308	35	35	424	60	0	1	0
76	4	0	2	2	0	1	,611,	1186	308	35	35	424b	60	1	1	0
77	4	0	0	2	0	1	,611,	1186	308	35	35	424b	62	1	1	0
78	11	0	0	2	0	9	,611,	1183	308	35	35	502	64	1	1	0
79	4	0	0	2	0	1	,611,	1189	309	35	35	501	64	0	1	0
80	11	0	0	2	0	9	,611,	1189	309	35	35	528	64	0	1	0
81	4	2	0	2	2	1	,611,	1189	309	35	35	503	64	0	1	0
82	4	2	0	2	3	1	,611,	1189	309	35	35	504	64	0	1	0
83	4	0	0	2	0	1	,611,	1189	309	35	35	505	64	0	1	0
84	4	2	0	2	2	1	,611,	1189	309	35	35	506	64	0	1	0
85	4	0	0	2	0	1	,611,	1189	309	35	35	507	64	0	1	0
86	4	2	0	2	3	1	,611,	1189	309	35	35	508	64	0	1	0
87	4	0	0	2	0	1	,611,	1189	309	35	35	509	64	0	1	0
88	4	0	2	2	0	1	,611,	1189	309	35	35	510	64	0	1	0
89	4	0	0	2	0	1	,611,	1189	309	35	35	511	64	0	1	0
90	4	0	0	2	0	1	,611,	1189	309	35	35	512	64	0	1	0
91	4	0	2	2	0	1	,611,	1189	309	35	35	513	64	0	1	0
92	4	2	0	2	1	1	,611,	1189	309	35	35	514	64	0	1	0
93	4	0	2	2	0	1	,611,	1189	309	35	35	515	64	0	1	0
94	4	2	0	2	2	1	,611,	1189	309	35	35	516	64	0	1	0
95	4	0	2	2	0	1	,611,	1189	309	35	35	517	64	0	1	0
96	4	0	2	2	0	1	,611,	1189	309	35	35	518	60	0	1	0
97	4	0	2	2	0	1	,611,	1189	309	35	35	519	60	0	1	0
